symbol,entry_time,exit_time,side,entry,exit,size,notional,commission,slippage,funding,bars_held,exit_reason,soft_sl,hard_sl,risk_pct,risk_mult,risk_reasons,pnl
SOL/USDT,2024-05-01 12:00:00,2024-05-01 16:00:00,short,122.98,121.62,8.76021,1071.38,0.8571,1.6071,-0.0975,1,soft_sl,121.618,126.13,0.0494,1.235,market:trend|adx:strong|daily:aligned|obv:aligned|vol:elevated,9.6
ETH/USDT,2024-05-01 12:00:00,2024-05-01 16:00:00,short,2904.19,2870.16,0.3426,989.15,0.7913,1.4837,-0.0727,1,soft_sl,2870.1645,2948.35,0.0335,1.25,market:trend|adx:trend|daily:aligned|obv:aligned,9.45
SOL/USDT,2024-05-20 12:00:00,2024-05-20 16:00:00,long,177.66,179.22,9.640945,1720.35,1.3763,2.5805,0.086,1,soft_sl,179.224,175.04,0.0499,1.247,adx:strong|daily:aligned|obv:aligned,11.04
ETH/USDT,2024-05-27 20:00:00,2024-05-28 00:00:00,long,3874.91,3903.22,0.464694,1807.22,1.4458,2.7108,0.1807,1,soft_sl,3903.215,3823.69,0.04536,1.134,daily:aligned|obv:aligned,8.82
SOL/USDT,2024-06-11 12:00:00,2024-06-11 16:00:00,short,153.91,147.19,13.183293,1984.7,1.5878,2.977,-0.1985,1,soft_sl,147.186,150.29,0.0499,1.247,adx:strong|daily:aligned|obv:aligned,84.24
SOL/USDT,2024-06-11 20:00:00,2024-06-12 00:00:00,short,149.16,148.17,12.075408,1795.19,1.4361,2.6928,-0.1795,1,soft_sl,148.1734,151.74,0.05,1.25,market:trend|adx:strong|daily:aligned|obv:aligned,7.92
SOL/USDT,2024-06-15 00:00:00,2024-06-15 04:00:00,short,142.97,142.87,5.986091,855.55,0.6844,1.2833,0.0428,1,soft_sl,142.8719,146.74,0.02677,0.669,market:trend|adx:strong|daily:aligned|obv:aligned|weekend|funding_window|daily_close,-1.41
ETH/USDT,2024-06-15 00:00:00,2024-06-15 04:00:00,short,3480.5,3473.56,0.240365,835.76,0.6686,1.2536,0.0418,1,soft_sl,3473.564,3538.0,0.0179,0.668,adx:strong|daily:aligned|obv:aligned|weekend|funding_window|daily_close,-0.3
SOL/USDT,2024-06-18 08:00:00,2024-06-18 12:00:00,short,136.62,135.72,8.366405,1139.26,0.9114,1.7089,0.057,1,soft_sl,135.7245,140.11,0.04244,1.061,market:trend|adx:trend|daily:aligned|obv:aligned|vol:elevated|funding_window,4.79
SOL/USDT,2024-06-24 08:00:00,2024-06-24 12:00:00,short,125.11,121.96,11.327588,1399.35,1.1195,2.099,0.07,1,soft_sl,121.957,124.88,0.03817,0.954,adx:strong|daily:aligned|obv:aligned|rsi:cold_short|funding_window,32.46
